location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Pordenone,HAS_COORDINATES,45.9563904,12.6538897,20260220T165619Z,local_20260223T093238Z,31,YES
Portogruaro,HAS_COORDINATES,45.7812233,12.8322411,20260220T165619Z,local_20260223T093238Z,22,YES
Reggio Calabria,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Roma Termini,HAS_COORDINATES,41.9011269,12.5018454,20260220T165619Z,local_20260223T093238Z,49,YES
Roma Tiburtina,HAS_COORDINATES,41.9111748,12.5320101,20260220T165619Z,local_20260223T093238Z,48,YES
Rosarno,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Rovereto,HAS_COORDINATES,45.8909607,11.0336008,20260220T172318Z,local_20260223T093238Z,33,YES
Rovigo,HAS_COORDINATES,45.0768204,11.7809496,20260221T055411Z,local_20260223T093238Z,28,YES
S.Donà-Jesolo,HAS_COORDINATES,45.6397552,12.5595999,20260220T165619Z,local_20260223T093238Z,22,YES
Salerno,HAS_COORDINATES,40.6755219,14.7723999,20260220T165619Z,local_20260223T093238Z,46,YES
Sapri,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Torino Porta di Susa,HAS_COORDINATES,45.0715408,7.66585016,20260220T165619Z,local_20260223T093238Z,48,YES
Torino Porta Nuova,HAS_COORDINATES,45.0609131,7.67749977,20260220T165619Z,local_20260223T093238Z,48,YES
Trani,HAS_COORDINATES,41.2728004,16.4176998,20260220T165619Z,local_20260223T093238Z,42,YES
Trento,HAS_COORDINATES,46.0722198,11.1188898,20260220T172318Z,local_20260223T093238Z,33,YES
Treviso C.le,HAS_COORDINATES,45.6596603,12.2451897,20260220T165619Z,local_20260223T093238Z,31,YES
Trieste Airport,HAS_COORDINATES,45.8175011,13.4861097,20260220T165619Z,local_20260223T093238Z,22,YES
Trieste C.le,HAS_COORDINATES,45.6584015,13.7714195,20260220T165619Z,local_20260223T093238Z,22,YES
Udine,HAS_COORDINATES,46.0556908,13.2418699,20260220T165619Z,local_20260223T093238Z,31,YES
Vallo d.Lucania,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Venezia Mestre,HAS_COORDINATES,45.4824524,12.2317038,20260220T165619Z,local_20260223T093238Z,48,YES
Venezia Santa Lucia,HAS_COORDINATES,45.4410706,12.3210316,20260220T165619Z,local_20260223T093238Z,48,YES
Verona Porta Nuova,HAS_COORDINATES,45.4290199,10.9824781,20260220T165619Z,local_20260223T093238Z,49,YES
Vibo-Pizzo,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Vicenza,HAS_COORDINATES,45.5410995,11.5407772,20260220T165619Z,local_20260223T093238Z,46,YES
Villa S.Giovanni,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
